,Authors,Title,Year,Cited by,Funding Details,Country
13,"Askarian M., Escudero G., Graells M., Zarghami R., Jalali-Farahani F., Mostoufi N.",Fault diagnosis of chemical processes with incomplete observations: A comparative study,2016,32.0,"Generalitat de Catalunya

Ministerio de Economía y Competitividad

Ministerio de Ciencia e Innovación

European Regional Development Fund

Ministry of Science Research and Technology",Iran
14,"Guo H., Zhou J., Koopialipoor M., Jahed Armaghani D., Tahir M.M.",Deep neural network and whale optimization algorithm to assess flyrock induced by blasting,2021,31.0,"National Natural Science Foundation of China

Central South University

China Postdoctoral Science Foundation",Iran
15,"Chen W., Li Y., Tsangaratos P., Shahabi H., Ilia I., Xue W., Bian H.","Groundwater spring potential mapping using artificial intelligence approach based on kernel logistic regression, random forest, and alternating decision tree models",2020,29.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

Shaanxi Province Postdoctoral Science Foundation

Science and Technology Major Project of Guangxi",Iran
16,"Zheng Y., Shadloo M.S., Nasiri H., Maleki A., Karimipour A., Tlili I.",Prediction of viscosity of biodiesel blends using various artificial model and comparison with empirical correlations,2020,28.0,National Natural Science Foundation of China,Iran
17,"Khalili-Damghani K., Abtahi A.-R., Tavana M.",A decision support system for solving multi-objective redundancy allocation problems,2014,27.0,Horizon 2020 Framework Programme,Iran
18,"Landeras G., Bekoe E., Ampofo J., Logah F., Diop M., Cisse M., Shiri J.",New alternatives for reference evapotranspiration estimation in West Africa using limited weather data and ancillary data supply strategies,2018,26.0,European Commission,Iran
19,"Golilarz N.A., Addeh A., Gao H., Ali L., Roshandeh A.M., Mudassir Munir H., Khan R.U.",A new automatic method for control chart patterns recognition based on convnet and harris hawks meta heuristic optimization algorithm,2019,24.0,National Natural Science Foundation of China,Iran
20,"Zhan J., Davvaz B.",Notes on roughness in rings,2016,17.0,National Natural Science Foundation of China,Iran
21,"Tian E., Babanezhad M., Rezakazemi M., Shirazian S.",Simulation of a Bubble-Column Reactor by Three-Dimensional CFD: Multidimension- and Function-Adaptive Network-Based Fuzzy Inference System,2020,16.0,National Natural Science Foundation of China,Iran
22,"Zendehboudi A., Tatar A., Li X.",A comparative study and prediction of the liquid desiccant dehumidifiers using intelligent models,2017,16.0,National Natural Science Foundation of China,Iran
23,"Dolati A., Fernández Sánchez J., Úbeda-Flores M.",A copula-based family of fuzzy implication operators,2013,16.0,"Ministerio de Ciencia e Innovación

European Regional Development Fund",Iran
24,"Agahi H., Mesiar R., Ouyang Y.",On some advanced type inequalities for Sugeno integral and T-(S-)evaluators,2012,16.0,"Natural Science Foundation of Zhejiang Province

Vedecká Grantová Agentúra MŠVVaŠ SR a SAV",Iran
25,"Azadeh A., Ghaderi S.F., Anvari M., Izadbakhsh H.R., Rezaee M.J., Raoofi Z.",An integrated decision support system for performance assessment and optimization of decision-making units,2013,15.0,0,Iran
26,"Liu W., Safdari Shadloo M., Tlili I., Maleki A., Bach Q.-V.",The effect of alcohol–gasoline fuel blends on the engines’ performances and emissions,2020,11.0,"National Natural Science Foundation of China

Priority Academic Program Development of Jiangsu Higher Education Institutions",Iran
27,"Saadatfar H., Khosravi S., Joloudari J.H., Mosavi A., Shamshirband S.",A new k-nearest neighbors classifier for big data based on efficient data pruning,2020,10.0,"European Commission

Deutsche Forschungsgemeinschaft",Iran
28,"Mesiar R., Najjari V.",New families of symmetric/asymmetric copulas,2014,9.0,European Regional Development Fund,Iran
29,"Wang X., Chen H., Heidari A.A., Zhang X., Xu J., Xu Y., Huang H.",Multi-population following behavior-driven fruit fly optimization: A Markov chain convergence proof and comprehensive analysis,2020,8.0,"National Natural Science Foundation of China

Natural Science Foundation of Zhejiang Province

Science and Technology Plan Project of Wenzhou, China",Iran
30,"Khoshnevisan B., Rafiee S., Pan J., Zhang Y., Liu H.",A multi-criteria evolutionary-based algorithm as a regional scale decision support system to optimize nitrogen consumption rate; A case study in North China plain,2020,8.0,National Natural Science Foundation of China,Iran
31,"Li G., Kumar D., Samui P., Rad H.N., Roy B., Hasanipanah M.",Developing a new computational intelligence approach for approximating the blast-induced ground vibration,2020,8.0,"National Natural Science Foundation of China

National Basic Research Program of China (973 Program)",Iran
32,"Chao H., Fang X., Zhang J., Homayounieh F., Arru C.D., Digumarthy S.R., Babaei R., Mobin H.K., Mohseni I., Saba L., Carriero A., Falaschi Z., Pasche A., Wang G., Kalra M.K., Yan P.",Integrative analysis for COVID-19 patient outcome prediction,2021,7.0,"National Heart, Lung, and Blood Institute

National Institute of Biomedical Imaging and Bioengineering",Iran
33,"Seifi A., Ehteram M., Singh V.P., Mosavi A.","Modeling and uncertainty analysis of groundwater level using six evolutionary optimization algorithms hybridized with ANFIS, SVM, and ANN",2020,7.0,"European Commission

Deutsche Forschungsgemeinschaft

Bauhaus-Universität Weimar",Iran
34,"Band S.S., Janizadeh S., Pal S.C., Saha A., Chakrabortty R., Melesse A.M., Mosavi A.",Flash flood susceptibility modeling using new approaches of hybrid and ensemble tree-based machine learning algorithms,2020,6.0,European Commission,Iran
35,"Abbaspour-Gilandeh Y., Molaee A., Sabzi S., Nabipur N., Shamshirband S., Mosavi A.",A combined method of image processing and artificial neural network for the identification of 13 Iranian rice cultivars,2020,5.0,"European Commission

Deutsche Forschungsgemeinschaft

Bauhaus-Universität Weimar

University of Mohaghegh Ardabili",Iran
36,"Dolati A., Mohseni S., Úbeda-Flores M.",Some results on a transformation of copulas and quasi-copulas,2014,5.0,European Regional Development Fund,Iran
37,"Shateri M., Sobhanigavgani Z., Alinasab A., Varamesh A., Hemmati-Sarapardeh A., Mosavi A., Shamshirband S.S.",Comparative analysis of machine learning models for nanofluids viscosity assessment,2020,4.0,"Alexander von Humboldt-Stiftung

European Social Fund

European Commission",Iran
38,"Mostafaeipour A., Fakhrzad M.B., Gharaat S., Jahangiri M., Dhanraj J.A., Band S.S., Issakhov A., Mosavi A.",Machine learning for prediction of energy in wheat production,2020,3.0,European Commission,Iran
39,"Mosavi A., Faghan Y., Ghamisi P., Duan P., Ardabili S.F., Salwana E., Band S.S.",Comprehensive review of deep reinforcement learning methods and applications in economics,2020,3.0,"Alexander von Humboldt-Stiftung

European Commission

European Social Fund",Iran
40,"Tatar A., Moghtadaei G.M., Manafi A., Cachadiña I., Mulero Á.",Determination of pure alcohols surface tension using Artificial Intelligence methods,2020,3.0,"Ministerio de Ciencia, Innovación y Universidades

European Regional Development Fund

Junta de Extremadura",Iran
41,"Guo J., Lv Y., Zhang H., Nojavan S., Jermsittiparsert K.",Robust optimization strategy for intelligent parking lot of electric vehicles,2020,3.0,"National Natural Science Foundation of China

Key Technologies Research and Development Program",Iran
42,"Yu Q., Xiong Z., Du C., Dai Z., Soltanian M.R., Soltanian M., Yin S., Liu W., Liu C., Wang C., Song Z.",Identification of rock pore structures and permeabilities using electron microscopy experiments and deep learning interpretations,2020,3.0,"Nvidia

Ministry of Education

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Natural Science Foundation of Hebei Province

Jilin University

National Key Research and Development Program of China

Program for Jilin University Science and Technology Innovative Research Team",Iran
43,"Sabzi S., Pourdarbani R., Kalantari D., Panagopoulos T.",Designing a fruit identification algorithm in orchard conditions to develop robots using video processing and majority voting based on hybrid artificial neural network,2020,3.0,European Commission,Iran
44,"Wei W., Saeid A.B.",Solutions to Open Problems on Fuzzy Filters of BL-algebras,2015,3.0,"National Natural Science Foundation of China

China Postdoctoral Science Foundation

Natural Science Foundation of Shaanxi Province",Iran
45,"Mesiar R., Kouchakinejad F., Siposova A., Mashinchi M.",OWA Operators on Complete Lattices,2018,2.0,"Iran National Science Foundation

Vedecká Grantová Agentúra MŠVVaŠ SR a SAV

European Regional Development Fund",Iran
46,"Mahdaviara M., Nait Amar M., Hemmati-Sarapardeh A., Dai Z., Zhang C., Xiao T., Zhang X.",Toward smart schemes for modeling CO2 solubility in crude oil: Application to carbon dioxide enhanced oil recovery,2021,1.0,"Ministry of Education

National Natural Science Foundation of China

Ministry of Education of the People's Republic of China

Jilin University

Program for Jilin University Science and Technology Innovative Research Team

Science and Technology Innovation Plan Of Shanghai Science and Technology Commission",Iran
47,"Ecer F., Ardabili S., Band S.S., Mosavi A.",Training multilayer perceptron with genetic algorithms and particle swarm optimization for modeling stock price index prediction,2020,1.0,European Commission,Iran
48,"Bonakdari H., Gholami A., Mosavi A., Kazemian-Kale-Kale A., Ebtehaj I., Azimi A.H.",A novel comprehensive evaluation method for estimating the bank profile shape and dimensions of stable channels using the maximum entropy principle,2020,1.0,"Alexander von Humboldt-Stiftung

European Commission

European Social Fund",Iran
49,"Sahragard A., Falaghi H., Farhadi M., Mosavi A., Estebsari A.",Generation expansion planning in the presence of wind power plants using a genetic algorithm model,2020,1.0,"European Commission

European Regional Development Fund",Iran
50,"Bemani A., Baghban A., Shamshirband S., Mosavi A., Csiba P., Varkonyi-Koczy A.R.","Applying ANN, ANFIS and LSSVM models for estimation of acid solvent solubility in supercritical CO2",2020,1.0,European Regional Development Fund,Iran
51,"Taghavifar H., Xu B., Taghavifar L., Qin Y.",Optimal Path-Planning of Nonholonomic Terrain Robots for Dynamic Obstacle Avoidance Using Single-Time Velocity Estimator and Reinforcement Learning Approach,2019,1.0,National Natural Science Foundation of China,Iran
52,"Aaly Kologani M., Jun Y.B., Xin X.L., Roh E.H., Borzooei R.A.",On co-annihilators in hoops,2019,1.0,National Natural Science Foundation of China,Iran
53,"Yang Y., Chen H., Heidari A.A., Gandomi A.H.","Hunger games search: Visions, conception, implementation, deep analysis, perspectives, and towards performance shifts",2021,0.0,National Natural Science Foundation of China,Iran
54,"Keshtegar B., Ben Seghier M.E.A., Zio E., Correia J.A.F.O., Zhu S.-P., Trung N.-T.",Novel efficient method for structural reliability analysis using hybrid nonlinear conjugate map-based support vector regression,2021,0.0,"National Natural Science Foundation of China

Iran National Science Foundation

Guangzhou Science and Technology Program key projects

Fundamental Research Funds for the Central Universities

University of Zabol

Key Research and Development Program of Sichuan Province",Iran
55,"Li D., Koopialipoor M., Armaghani D.J.",A Combination of Fuzzy Delphi Method and ANN-based Models to Investigate Factors of Flyrock Induced by Mine Blasting,2021,0.0,National Natural Science Foundation of China,Iran
56,"Karballaeezadeh N., Danial M.S., Moazemi D., Band S.S., Mosavi A., Reuter U.",Smart structural health monitoring of flexible pavements using machine learning methods,2020,0.0,"Alexander von Humboldt-Stiftung

European Commission

European Social Fund",Iran
57,"Band S.S., Al-Shourbaji I., Karami H., Karimi S., Esfandiari J., Mosavi A.",Combination of group method of data handling (GMDH) and computational fluid dynamics (CFD) for prediction of velocity in channel intake,2020,0.0,European Commission,Iran
58,"Wendell Bates I., Karimoddini A., Karimadini M.",Learning a partially-known discrete event system,2020,0.0,"National Science Foundation

U.S. Department of Education

Office of the Secretary of Defense

Air Force Research Laboratory",Iran
0,"Beer C., Reichstein M., Tomelleri E., Ciais P., Jung M., Carvalhais N., Rödenbeck C., Arain M.A., Baldocchi D., Bonan G.B., Bondeau A., Cescatti A., Lasslop G., Lindroth A., Lomas M., Luyssaert S., Margolis H., Oleson K.W., Roupsard O., Veenendaal E., Viovy N., Williams C., Woodward F.I., Papale D.",Terrestrial gross carbon dioxide uptake: Global distribution and covariation with climate,2010,1354.0,"National Science Foundation

Seventh Framework Programme

Natural Environment Research Council",Italy
1,"Jung M., Reichstein M., Ciais P., Seneviratne S.I., Sheffield J., Goulden M.L., Bonan G., Cescatti A., Chen J., De Jeu R., Dolman A.J., Eugster W., Gerten D., Gianelle D., Gobron N., Heinke J., Kimball J., Law B.E., Montagnani L., Mu Q., Mueller B., Oleson K., Papale D., Richardson A.D., Roupsard O., Running S., Tomelleri E., Viovy N., Weber U., Williams C., Wood E., Zaehle S., Zhang K.",Recent decline in the global land evapotranspiration trend due to limited moisture supply,2010,1160.0,"National Science Foundation

Biological and Environmental Research

Université Laval

Seventh Framework Programme

BIOCAP Canada

Università degli Studi della Tuscia

Natural Sciences and Engineering Research Council of Canada

Environment Canada

Natural Resources Canada

Canadian Foundation for Climate and Atmospheric Sciences

European Commission

Seventh Framework Programme

Sixth Framework Programme

Max Planck Institute for Nuclear Physics",Italy
2,"Capriotti E., Fariselli P., Casadio R.",I-Mutant2.0: Predicting stability changes upon mutation from the protein sequence or structure,2005,893.0,"Università di Bologna

Ministero dell’Istruzione, dell’Università e della Ricerca

Sixth Framework Programme",Italy
3,"Guidotti R., Monreale A., Ruggieri S., Turini F., Giannotti F., Pedreschi D.",A survey of methods for explaining black box models,2018,532.0,Horizon 2020 Framework Programme,Italy
4,"Laschi C., Cianchetti M., Mazzolai B., Margheri L., Follador M., Dario P.",Soft robot arm inspired by the octopus,2012,498.0,"Seventh Framework Programme

European Commission",Italy
5,"Colleoni E., Rozza A., Arvidsson A.",Echo Chamber or Public Sphere? Predicting Political Orientation and Measuring Political Homophily in Twitter Using Big Data,2014,418.0,Horizon 2020 Framework Programme,Italy
6,"Pillonetto G., Dinuzzo F., Chen T., De Nicolao G., Ljung L.","Kernel methods in system identification, machine learning and function estimation: A survey",2014,350.0,Seventh Framework Programme,Italy
7,"Dung P.M., Mancarella P., Toni F.",Computing ideal sceptical argumentation,2007,292.0,"European Commission

Sixth Framework Programme",Italy
8,"Bernardo D.D., Thompson M.J., Gardner T.S., Chobot S.E., Eastwood E.L., Wojtovich A.P., Elliott S.J., Schaus S.E., Collins J.J.",Chemogenomic profiling on a genome-wide scale using reverse-engineered gene networks,2005,286.0,"National Science Foundation

National Institutes of Health

U.S. Department of Energy

National Heart, Lung, and Blood Institute

Pharmaceutical Research and Manufacturers of America Foundation

Boston University

Whitaker Foundation

Fondazione Telethon",Italy
9,"Rossini P.M., Micera S., Benvenuto A., Carpaneto J., Cavallo G., Citi L., Cipriani C., Denaro L., Denaro V., Di Pino G., Ferreri F., Guglielmelli E., Hoffmann K.-P., Raspopovic S., Rigosa J., Rossini L., Tombini M., Dario P.",Double nerve intraneural interface implant on a human amputee for robotic hand control,2010,264.0,Seventh Framework Programme,Italy
10,"Cappelli R., Maio D., Maltoni D., Wayman J.L., Jain A.K.",Performance evaluation of fingerprint verification systems,2006,250.0,European Commission,Italy
11,"Biggio B., Roli F.",Wild patterns: Ten years after the rise of adversarial machine learning,2018,234.0,Horizon 2020 Framework Programme,Italy
12,"Mondada F., Pettinaro G.C., Guignard A., Kwee I.W., Floreano D., Deneubourg J.-L., Nolfi S., Gambardella L.M., Dorigo M.",Swarm-bot: A new distributed robotic concept,2004,230.0,"H2020 Future and Emerging Technologies

European Commission

Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung

Fédération Wallonie-Bruxelles",Italy
13,"Dorigo M., Trianni V., Şahin E., Groß R., Labella T.H., Baldassarre G., Nolfi S., Deneubourg J.-L., Mondada F., Floreano D., Gambardella L.M.",Evolving self-organizing behaviors for a swarm-bot,2004,228.0,"European Commission

Fédération Wallonie-Bruxelles",Italy
14,"Coyle S., Lau K.-T., Moyna N., O'Gorman D., Diamond D., Di Francesco F., Costanzo D., Salvo P., Trivella M.G., De Rossi D.E., Taccini N., Paradiso R., Porchet J.-A., Ridolfi A., Luprano J., Chuzel C., Lanier T., Revol-Cavalier F., Schoumacker S., Mourier V., Chartier I., Convert R., De-Moncuit H., Bini C.",BIOTEXBiosensing textiles for personalised healthcare management,2010,223.0,"European Commission

Science Foundation Ireland",Italy
15,"Zambonelli F., Omicini A.",Challenges and research directions in agent-oriented software engineering,2004,211.0,"Ministero dell’Istruzione, dell’Università e della Ricerca

European Commission",Italy
16,"Cappelli R., Lumini A., Maio D., Maltoni D.",Fingerprint image reconstruction from standard templates,2007,196.0,European Commission,Italy
17,"Patel V.L., Shortliffe E.H., Stefanelli M., Szolovits P., Berthold M.R., Bellazzi R., Abu-Hanna A.",The coming of age of artificial intelligence in medicine,2009,186.0,U.S. National Library of Medicine,Italy
18,"Bartolini I., Ciaccia P., Patella M.",WARP: Accurate retrieval of shapes using phase of fourier descriptors and time warping distance,2005,167.0,European Commission,Italy
19,"Gelfond M., Leone N.",Logic programming and knowledge representation - The A-Prolog perspective,2002,148.0,"National Aeronautics and Space Administration

European Commission",Italy
20,Lanz O.,Approximate Bayesian multibody tracking,2006,141.0,"European Commission

Provincia Autonoma di Trento",Italy
21,"Quaglini S., Stefanelli M., Lanzola G., Caporusso V., Panzarasa S.",Flexible guideline-based patient careflow systems,2001,137.0,European Commission,Italy
22,"Jurman G., Riccadonna S., Furlanello C.",A comparison of MCC and CEN error measures in multi-class prediction,2012,136.0,Seventh Framework Programme,Italy
23,"Riaño D., Real F., López-Vallverdú J.A., Campana F., Ercolani S., Mecocci P., Annicchiarico R., Caltagirone C.",An ontology-based personalization of health-care knowledge to support clinical decisions for chronically ill patients,2012,136.0,"European Commission

Všeobecná Fakultní Nemocnice v Praze

European Commission",Italy
24,"Conti M., Mancini L.V., Spolaor R., Verde N.V.",Analyzing Android Encrypted Network Traffic to Identify User Actions,2016,126.0,Horizon 2020 Framework Programme,Italy
25,"Chincarini A., Bosco P., Calvini P., Gemme G., Esposito M., Olivieri C., Rei L., Squarcia S., Rodriguez G., Bellotti R., Cerello P., De Mitri I., Retico A., Nobili F.",Local MRI analysis approach in the diagnosis of early and prodromal Alzheimer's disease,2011,124.0,"National Institutes of Health

U.S. Food and Drug Administration

Abbott Fund

National Institute on Aging

National Institute of Biomedical Imaging and Bioengineering

Alzheimer's Association

Dana Foundation

Bristol-Myers Squibb

Alzheimer's Drug Discovery Foundation

Genentech

GlaxoSmithKline

Johnson and Johnson

Novartis

GE Healthcare

Schering-Plough

Alzheimer's Disease Neuroimaging Initiative

Elan

Università degli Studi di Genova

Innogenetics

Bayer Schering

Istituto Nazionale di Fisica Nucleare",Italy
26,"Fountas S., Carli G., Sørensen C.G., Tsiropoulos Z., Cavalaris C., Vatsanidou A., Liakos B., Canavari M., Wiebensohn J., Tisserye B.",Farm management information systems: Current situation and future perspectives,2015,119.0,European Commission,Italy
27,"Scharr H., Minervini M., French A.P., Klukas C., Kramer D.M., Liu X., Luengo I., Pape J.-M., Polder G., Vukadinovic D., Yin X., Tsaftaris S.A.",Leaf segmentation in plant phenotyping: a collation study,2016,118.0,Seventh Framework Programme,Italy
28,"Yu J.S., Ongarello S., Fiedler R., Chen X.W., Toffolo G., Cobelli C., Trajanoski Z.",Ovarian cancer identification based on dimensionality reduction for high-throughput mass spectrometry data,2005,117.0,"European Commission

Österreichische Austauschdienst",Italy
29,"Capriotti E., Fariselli P., Calabrese R., Casadio R.",Predicting protein stability changes from sequences using support vector machines,2005,111.0,"Sixth Framework Programme

Ministero dell’Istruzione, dell’Università e della Ricerca",Italy
30,"Hu R., Zhu X., Cheng D., He W., Yan Y., Song J., Zhang S.",Graph self-representation method for unsupervised feature selection,2017,110.0,"National Natural Science Foundation of China

Natural Science Foundation of Guangxi Province",Italy
31,"Hovy E., Navigli R., Ponzetto S.P.",Collaboratively built semi-structured content and Artificial Intelligence: The story so far,2013,107.0,"Seventh Framework Programme

European Research Council",Italy
32,"Liu S., Perra N., Karsai M., Vespignani A.",Controlling contagion processes in activity driven networks,2014,106.0,National Science Foundation,Italy
33,"Chen M., Tian Y., Fortino G., Zhang J., Humar I.",Cognitive Internet of Vehicles,2018,105.0,"National Natural Science Foundation of China

Javna Agencija za Raziskovalno Dejavnost RS

National Key Research and Development Program of China",Italy
34,"Ju W., Greene C.S., Eichinger F., Nair V., Hodgin J.B., Bitzer M., Lee Y.-S., Zhu Q., Kehata M., Li M., Jiang S., Pia Rastaldi M., Cohen C.D., Troyanskaya O.G., Kretzler M.",Defining cell-type specificity at the transcriptional level in human disease,2013,105.0,"National Human Genome Research Institute

National Institute of General Medical Sciences

National Institute of Diabetes and Digestive and Kidney Diseases",Italy
35,"Celebi M.E., Iyatomi H., Stoecker W.V., Moss R.H., Rabinovitz H.S., Argenziano G., Soyer H.P.",Automatic detection of blue-white veil and related structures in dermoscopy images,2008,104.0,"National Science Foundation

National Institutes of Health

National Cancer Institute

Small Business Innovation Research

Texas Workforce Commission",Italy
36,"Nicodemus K.K., Law A.J., Radulescu E., Luna A., Kolachana B., Vakkalanka R., Rujescu D., Giegling I., Straub R.E., McGee K., Gold B., Dean M., Muglia P., Callicott J.H., Tan H.-Y., Weinberger D.R.","Biological validation of increased schizophrenia risk with NRG1, ERBB4, and AKT1 epistasis via functional neuroimaging in healthy controls",2010,102.0,"National Institute of Mental Health

Medical Research Council",Italy
37,"Zhang F., Chan P.P.K., Biggio B., Yeung D.S., Roli F.",Adversarial Feature Selection Against Evasion Attacks,2016,100.0,"National Natural Science Foundation of China

Regione Autonoma della Sardegna",Italy
38,"Leone M., Weigt S., Weigt M.",Clustering by soft-constraint affinity propagation: Applications to gene-expression data,2007,98.0,European Commission,Italy
39,"Gerevini A., Renz J.",Combining topological and size information for spatial reasoning,2002,98.0,"College of Natural Resources, University of California Berkeley

European Commission

Deutsche Forschungsgemeinschaft",Italy
40,"Odone F., Barla A., Verri A.",Building kernels from binary strings for image matching,2005,97.0,European Commission,Italy
41,"Chrysoulakis N., Lopes M., San José R., Grimmond C.S.B., Jones M.B., Magliulo V., Klostermann J.E.M., Synnefa A., Mitraka Z., Castro E.A., González A., Vogt R., Vesala T., Spano D., Pigeon G., Freer-Smith P., Staszewski T., Hodges N., Mills G., Cartalis C.",Sustainable urban metabolism as a link between bio-physical sciences and urban planning: The BRIDGE project,2013,96.0,"Seventh Framework Programme

Seventh Framework Programme",Italy
42,"Ruaro M.E., Bonifazi P., Torre V.",Toward the neurocomputer: Image processing and pattern recognition with neuronal cultures,2005,95.0,European Commission,Italy
43,"Zhou C., Yin K., Cao Y., Ahmed B., Li Y., Catani F., Pourghasemi H.R.","Landslide susceptibility modeling applying machine learning methods: A case study from Longju in the Three Gorges Reservoir area, China",2018,94.0,"China Three Gorges Corporation

National Natural Science Foundation of China

Università degli Studi di Firenze

China Scholarship Council",Italy
44,"Calvanese Strinati E., Barbarossa S., Gonzalez-Jimenez J.L., Kténas D., Cassiau N., Maret L., Dehos C.",6G: The Next Frontier: From Holographic Messaging to Artificial Intelligence Using Subterahertz and Visible Light Communication,2019,93.0,"European Commission

Ministry of Internal Affairs and Communications

Institute for Information and Communications Technology Promotion",Italy
45,"Benosman R., Ieng S.-H., Clercq C., Bartolozzi C., Srinivasan M.",Asynchronous frameless event-based optical flow,2012,93.0,"Seventh Framework Programme

European Commission",Italy
46,"Trebeschi S., Drago S.G., Birkbak N.J., Kurilova I., Cǎlin A.M., Delli Pizzi A., Lalezari F., Lambregts D.M.J., Rohaan M.W., Parmar C., Rozeman E.A., Hartemink K.J., Swanton C., Haanen J.B.A.G., Blank C.U., Smit E.F., Beets-Tan R.G.H., Aerts H.J.W.L.",Predicting response to cancer immunotherapy using noninvasive radiomic biomarkers,2019,92.0,"National Institutes of Health

National Cancer Institute

AstraZeneca

Cancer Research UK

Rosetrees Trust

UCLH Biomedical Research Centre",Italy
47,"Bordegoni M., Faconti G., Feiner S., Maybury M.T., Rist T., Ruggieri S., Trahanias P., Wilson M.",A standard reference model for intelligent multimedia presentation systems,1997,92.0,European Commission,Italy
48,"Caggiani L., Camporeale R., Ottomanelli M., Szeto W.Y.",A modeling framework for the dynamic management of free-floating bike-sharing systems,2018,91.0,"National Natural Science Foundation of China

Regione Puglia",Italy
49,"De Jong J.T.A., Verdoes Kleijn G.A., Erben T., Hildebrandt H., Kuijken K., Sikkema G., Brescia M., Bilicki M., Napolitano N.R., Amaro V., Begeman K.G., Boxhoorn D.R., Buddelmeijer H., Cavuoti S., Getman F., Grado A., Helmich E., Huang Z., Irisarri N., La Barbera F., Longo G., McFarland J.P., Nakajima R., Paolillo M., Puddu E., Radovich M., Rifatto A., Tortora C., Valentijn E.A., Vellucci C., Vriend W.-J., Amon A., Blake C., Choi A., Conti I.F., Gwyn S.D.J., Herbonnet R., Heymans C., Hoekstra H., Klaes D., Merten J., Miller L., Schneider P., Viola M.",The third data release of the Kilo-Degree Survey and associated data products,2017,91.0,"Alexander von Humboldt-Stiftung

Association pour la Recherche sur le Cancer

Horizon 2020 Framework Programme

Seventh Framework Programme

American Academy of Ophthalmology

FP7 Ideas: European Research Council

Division of Loan Repayment

Science and Technology Facilities Council

Marie Curie

European Research Council

Australian Research Council

Deutsche Forschungsgemeinschaft

Bundesministerium für Wirtschaft und Technologie

Nederlandse Organisatie voor Wetenschappelijk Onderzoek

Università degli Studi di Padova

Seventh Framework Programme

European Regional Development Fund

Nederlandse Onderzoekschool Voor Astronomie

Università ta' Malta",Italy
50,"Alippi C., Boracchi G., Roveri M.",Just-in-time classifiers for recurrent concepts,2013,89.0,Seventh Framework Programme,Italy
51,"Gent I.P., Walsh T.",The TSP phase transition,1996,88.0,"European Commission

Science and Engineering Research Council",Italy
52,"Contessa P., Adam A., De Luca C.J.",Motor unit control and force fluctuation during fatigue,2009,86.0,Eunice Kennedy Shriver National Institute of Child Health and Human Development,Italy
53,Valentini G.,True path rule hierarchical ensembles for genome-wide gene function prediction,2011,84.0,European Commission,Italy
54,"Ricca F., Grasso G., Alviano M., Manna M., Lio V., Iiritano S., Leone N.",Team-building with answer set programming in the Gioia-Tauro seaport,2012,81.0,"European Commission

Regione Calabria",Italy
55,"Camacho-Collados J., Pilehvar M.T., Navigli R.",NASARI: Integrating explicit knowledge and corpus statistics for a multilingual representation of concepts and entities,2016,80.0,European Research Council,Italy
56,"Atkinson K., Baroni P., Giacomin M., Hunter A., Prakken H., Reed C., Simari G., Thimm M., Villata S.",Toward artificial argumentation,2017,75.0,"Horizon 2020 Framework Programme

Engineering and Physical Sciences Research Council",Italy
57,"Baldassarre G., Trianni V., Bonani M., Mondada F., Dorigo M., Nolfi S.",Self-organized coordinated motion in groups of physically connected robots,2007,74.0,"H2020 Future and Emerging Technologies

European Commission

Fonds De La Recherche Scientifique - FNRS

Fédération Wallonie-Bruxelles",Italy
58,"Henderson G., Ifeachor E., Hudson N., Goh C., Outram N., Wimalaratna S., Del Percio C., Vecchio F.",Development and assessment of methods for detecting dementia using the human electroencephalogram,2006,74.0,European Commission,Italy
59,"Verschure P.F.M.J., Pennartz C.M.A., Pezzulo G.","The why, what, where, when and how of goal-directed choice: Neuronal and computational principles",2014,73.0,Seventh Framework Programme,Italy
60,"Pontiggia M., Landucci G., Busini V., Derudi M., Alba M., Scaioni M., Bonvicini S., Cozzani V., Rota R.",CFD model simulation of LPG dispersion in urban areas,2011,73.0,"Seventh Framework Programme

Ministero dell’Istruzione, dell’Università e della Ricerca",Italy
61,"Decherchi S., Gastaldo P., Dahiya R.S., Valle M., Zunino R.",Tactile-data classification of contact materials using computational intelligence,2011,72.0,FP7 People: Marie-Curie Actions,Italy
62,"Valenza G., Gentili C., Lanatà A., Scilingo E.P.",Mood recognition in bipolar patients through the PSYCHE platform: Preliminary evaluations and perspectives,2013,71.0,"Seventh Framework Programme

Seventh Framework Programme",Italy
63,"Asnar Y., Giorgini P., Mylopoulos J.",Goal-driven risk assessment in requirements engineering,2011,71.0,Seventh Framework Programme,Italy
64,"Sundaramoorthi G., Yezzi A., Mennucci A.",Coarse-to-fine segmentation and tracking using Sobolev active contours,2008,70.0,National Science Foundation,Italy
65,"Biber P., Borges J.G., Moshammer R., Barreiro S., Botequim B., Brodrechtová Y., Brukas V., Chirici G., Cordero-Debets R., Corrigan E., Eriksson L.O., Favero M., Galev E., Garcia-Gonzalo J., Hengeveld G., Kavaliauskas M., Marchetti M., Marques S., Mozgeris G., Navrátil R., Nieuwenhuis M., Orazio C., Paligorov I., Pettenella D., Sedmák R., Smreček R., Stanislovaitis A., Tomé M., Trubins R., Tuček J., Vizzarri M., Wallin I., Pretzsch H., Sallnäs O.",How sensitive are ecosystem services in European forest landscapes to silvicultural treatment?,2015,69.0,Seventh Framework Programme,Italy
