,area_type,availability,location,size,society,total_sqft,bath,balcony,price
6968,Built-up  Area,Ready To Move,Doopanahalli,2 BHK,,1050,2.0,1.0,70.0
6969,Plot  Area,Ready To Move,Singasandra,6 Bedroom,,1200,6.0,3.0,220.0
6970,Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2.0,2.0,43.0
6972,Plot  Area,Ready To Move,Seegehalli,3 Bedroom,Stndeil,3000,4.0,2.0,235.0
6973,Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soubya ,1459,2.0,1.0,95.0
6974,Super built-up  Area,21-Mar,Yelahanka,3 BHK,Goues A,1711,3.0,3.0,85.61
6975,Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,98.0
6976,Super built-up  Area,18-Sep,Chandapura,1 BHK,SunceEs,645,1.0,1.0,16.45
6977,Plot  Area,Ready To Move,Anandapura,2 Bedroom,,875,2.0,1.0,57.0
6978,Built-up  Area,18-Feb,Ramamurthy Nagar,2 BHK,,1334,2.0,1.0,67.0
6979,Built-up  Area,18-Dec,Huskur,2 BHK,,1140,2.0,1.0,32.92
6980,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,2.0,50.0
6981,Plot  Area,Ready To Move,Amruthahalli,3 Bedroom,,1200,5.0,2.0,200.0
6982,Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1776,3.0,1.0,190.0
6983,Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4.0,2.0,160.0
6984,Plot  Area,Ready To Move,Kundalahalli,3 Bedroom,Roima A,1600,3.0,2.0,170.0
6985,Plot  Area,Ready To Move,Lakshmi Layout,6 Bedroom,,1200,4.0,2.0,115.0
6986,Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,Malowr ,920,2.0,3.0,39.0
6988,Plot  Area,Ready To Move,Nagasandra,4 Bedroom,,1310,3.0,3.0,95.0
6989,Super built-up  Area,Ready To Move,Electronic City,3 BHK,Goty  E,1631,3.0,2.0,80.0
6990,Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,27.5
6991,Built-up  Area,Ready To Move,Jalahalli,3 BHK,Reodsnc,1395,3.0,3.0,82.0
6992,Super built-up  Area,Ready To Move,Devi Nagar,3 BHK,Krtonwe,2000,3.0,2.0,105.0
6993,Super built-up  Area,18-Jul,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,66.0
6994,Super built-up  Area,Ready To Move,Virupakshapura,2 BHK,,1075,2.0,1.0,55.0
6995,Super built-up  Area,Ready To Move,Gubbalala,2 BHK,MauilTr,1205,2.0,2.0,70.0
6996,Plot  Area,Ready To Move,Muthyala Nagar,4 Bedroom,,1200,4.0,2.0,165.0
6997,Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,5.0,1.0,129.0
6998,Super built-up  Area,Ready To Move,Rayasandra,3 BHK,Amlisai,1179,2.0,1.0,55.0
6999,Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1013,2.0,1.0,51.0
7000,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1160,2.0,2.0,40.6
7002,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Hiestre,1200,2.0,2.0,62.5
7003,Plot  Area,Ready To Move,Nrupathunga Nagar,7 Bedroom,,1200,5.0,0.0,80.0
7004,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1255,2.0,3.0,50.19
7005,Built-up  Area,Ready To Move,Richmond Town,3 BHK,,1100,2.0,1.0,145.0
7006,Built-up  Area,Ready To Move,Samethanahalli,2 BHK,SPontna,1069,2.0,1.0,55.0
7007,Plot  Area,Ready To Move,Kyalasanahalli,3 Bedroom,Ceonyy ,1200,3.0,2.0,99.0
7008,Super built-up  Area,Ready To Move,Kudlu Gate,1 BHK,,1400,1.0,1.0,285.0
7009,Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Inden O,1065,2.0,2.0,55.0
7010,Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,BVeneSe,1395,2.0,0.0,75.0
7011,Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1725,2.0,1.0,165.0
7012,Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,Naenti ,1007,2.0,2.0,43.0
7013,Built-up  Area,Ready To Move,Kengeri,3 BHK,,1436,2.0,2.0,55.0
7014,Super built-up  Area,Ready To Move,Amrita Nagar,6 BHK,,4250,6.0,3.0,150.0
7015,Super built-up  Area,19-Jun,Hebbal,3 BHK,Raard B,1645,3.0,2.0,117.0
7016,Plot  Area,Ready To Move,Kengeri,2 Bedroom,,1200,2.0,0.0,58.0
7017,Super built-up  Area,19-Apr,Mysore Road,2 BHK,Brama P,940,2.0,1.0,43.61
7018,Built-up  Area,Ready To Move,KR Puram,6 Bedroom,,4300,6.0,2.0,175.0
7019,Super built-up  Area,20-Dec,Hebbal,3 BHK,Cehosy ,2850,5.0,3.0,343.0
7020,Built-up  Area,Ready To Move,Indira Nagar,3 BHK,,1740,3.0,2.0,191.0
7021,Super built-up  Area,18-May,Haralur Road,2 BHK,,1194,2.0,2.0,47.0
7022,Super built-up  Area,Ready To Move,Sadashiva Nagar,3 BHK,,3761,3.0,2.0,650.0
7023,Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,,1829,3.0,2.0,125.0
7024,Plot  Area,Ready To Move,Whitefield,4 Bedroom,,1800,4.0,3.0,178.0
7025,Super built-up  Area,Ready To Move,Austin Town,2 BHK,,1000,2.0,1.0,60.0
7026,Built-up  Area,Ready To Move,Venkatapura,3 Bedroom,,5720,3.0,0.0,350.0
7027,Plot  Area,Ready To Move,Vignana Nagar,5 Bedroom,,800,4.0,2.0,98.0
7028,Super built-up  Area,Ready To Move,Kadabagere,2 BHK,Jahipa ,675,1.0,1.0,15.0
7029,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Chtert ,1390,2.0,2.0,95.0
7030,Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,RothaVa,1500,3.0,2.0,104.0
7031,Super built-up  Area,21-Jun,Vijayanagar,3 BHK,Saityat,2047,3.0,2.0,136.0
7032,Super built-up  Area,Ready To Move,Jakkur,2 BHK,HRaniIb,1202,2.0,1.0,79.0
7033,Super built-up  Area,Ready To Move,Kodbisanhalli,2 BHK,Seityen,1012,2.0,1.0,59.0
7034,Super built-up  Area,Ready To Move,Gunjur,3 BHK,Paestol,2132,3.0,3.0,80.0
7035,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 Bedroom,,1350,4.0,3.0,340.0
7036,Super built-up  Area,Ready To Move,Whitefield,1 BHK,,605,1.0,1.0,40.0
7037,Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1331,2.0,1.0,88.0
7038,Plot  Area,18-May,Margondanahalli,2 Bedroom,,1200,2.0,0.0,69.0
7039,Built-up  Area,Ready To Move,Kumara Park,2 BHK,,1150,2.0,0.0,250.0
7040,Plot  Area,Ready To Move,Sahakara Nagar,2 Bedroom,,1200,2.0,1.0,136.0
7041,Built-up  Area,Ready To Move,Anand Nagar,2 Bedroom,Bebalrk,1800,2.0,0.0,300.0
7042,Plot  Area,Ready To Move,Kammanahalli,3 Bedroom,,600,2.0,1.0,50.0
7043,Super built-up  Area,Ready To Move,Akshaya Vana,3 BHK,Rainet ,1280,2.0,2.0,49.0
7044,Super built-up  Area,Ready To Move,Balagere,2 BHK,Soresea,1007,2.0,1.0,62.0
7045,Super built-up  Area,18-May,Thanisandra,3 BHK,SLityee,1370,2.0,1.0,61.0
7046,Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,2.0,35.0
7047,Super built-up  Area,Ready To Move,TC Palaya,2 BHK,,1500,2.0,0.0,75.0
7048,Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,450,1.0,1.0,12.5
7049,Built-up  Area,Ready To Move,Peenya,4 Bedroom,,1200,4.0,1.0,140.0
7050,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1341,2.0,1.0,95.0
7051,Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 BHK,,1350,2.0,2.0,47.25
7052,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Sahtsva,992,2.0,1.0,60.0
7053,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,RaontWa,1163,2.0,2.0,68.0
7054,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Ceiti I,1229,2.0,2.0,70.0
7055,Plot  Area,Ready To Move,Gowdanapalya,2 Bedroom,,600,2.0,2.0,39.0
7056,Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Coomee ,1219,2.0,1.0,61.26
7057,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GRvanun,1525,2.0,2.0,99.13
7058,Super built-up  Area,20-Jun,Kasavanhalli,2 BHK,Esareap,1147,2.0,1.0,60.0
7059,Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1412,2.0,3.0,88.0
7060,Plot  Area,Ready To Move,Munnekollal,9 Bedroom,,1200,9.0,3.0,215.0
7061,Super built-up  Area,19-Jun,Sarjapur  Road,2 BHK,,1044,2.0,1.0,34.77
7062,Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,KohraNa,1190,2.0,2.0,63.0
7063,Super built-up  Area,Ready To Move,Nagadevanahalli,3 BHK,,1240,2.0,2.0,65.0
7064,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1352,3.0,1.0,65.0
7065,Built-up  Area,Ready To Move,Ashwathnagar,2 BHK,,1100,2.0,2.0,55.0
7066,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,SLnssPr,1330,2.0,2.0,39.9
7067,Super built-up  Area,20-Nov,RR Layout,3 BHK,,1700,3.0,2.0,111.0
7068,Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1355,2.0,1.0,67.0
7069,Super built-up  Area,18-Nov,Ramamurthy Nagar,2 BHK,Vaharvi,1200,2.0,1.0,46.0
7070,Super built-up  Area,Ready To Move,Kengeri,1 BHK,,400,2.0,1.0,25.0
7071,Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Tiare S,1342,2.0,,70.0
7072,Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615,3.0,2.0,50.87
7073,Super built-up  Area,Ready To Move,Vinayaka Nagar,2 BHK,,1340,2.0,1.0,65.0
7074,Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,,1200,2.0,1.0,54.0
7075,Built-up  Area,Ready To Move,Yeshwanthpur,1 Bedroom,,400,1.0,0.0,55.0
7076,Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Brrds O,1080,2.0,1.0,52.0
7077,Super built-up  Area,Ready To Move,Gollahalli,2 BHK,SuanaNa,1600,2.0,1.0,31.0
7078,Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prtor N,1200,2.0,0.0,34.0
7079,Plot  Area,17-Apr,Hennur Road,3 Bedroom,,2700,3.0,2.0,150.0
7080,Built-up  Area,Ready To Move,Billapura,3 Bedroom,,1780,3.0,0.0,110.0
7081,Built-up  Area,Ready To Move,Amruthahalli,3 BHK,Pranai ,1605,3.0,2.0,65.0
7082,Super built-up  Area,17-Sep,Ulsoor,4 BHK,,7200,5.0,2.0,1584.0
7083,Plot  Area,Ready To Move,Doddabommasandra,3 Bedroom,,646,2.0,1.0,65.0
7084,Super built-up  Area,Ready To Move,Kammanahalli,2 BHK,Bhide P,1200,2.0,2.0,80.0
7085,Plot  Area,Ready To Move,Margondanahalli,2 Bedroom,,900,2.0,0.0,49.0
7086,Built-up  Area,19-Dec,Sarjapur,3 Bedroom,,1830,3.0,1.0,88.0
7087,Plot  Area,Ready To Move,Vishwapriya Layout,5 Bedroom,,690,4.0,1.0,83.0
7088,Built-up  Area,Ready To Move,Srirampuram,1 BHK,,650,1.0,3.0,500.0
7089,Plot  Area,Ready To Move,MS Pallya,5 Bedroom,,1800,4.0,1.0,68.0
7090,Built-up  Area,Ready To Move,Chandapura,3 BHK,,715,2.0,0.0,32.0
7091,Super built-up  Area,18-Sep,Chandapura,3 BHK,SunceEs,1230,2.0,2.0,31.37
7092,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1065,2.0,1.0,42.59
7093,Plot  Area,Ready To Move,2nd Phase JP Nagar,8 Bedroom,,1350,8.0,2.0,185.0
7094,Plot  Area,Ready To Move,Srinagar,3 Bedroom,,1080,3.0,2.0,149.0
7095,Built-up  Area,Ready To Move,KHB Colony Extension,3 BHK,,900,2.0,0.0,65.0
7096,Super built-up  Area,Ready To Move,Devasthanagalu,2 BHK,CMhidal,946,2.0,2.0,45.0
7097,Super built-up  Area,Ready To Move,Laggere,1 BHK,,1500,1.0,0.0,60.0
7098,Super built-up  Area,18-May,Sarjapur  Road,3 BHK,PualeSk,1711,3.0,1.0,110.0
7099,Plot  Area,Ready To Move,Attur Layout,4 Bedroom,,1200,3.0,2.0,160.0
7100,Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,950,2.0,1.0,25.65
7101,Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Brlms P,1656,3.0,2.0,80.0
7102,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Ayaya A,1075,2.0,1.0,46.76
7104,Plot  Area,Ready To Move,Hebbal,8 Bedroom,,6000,8.0,0.0,220.0
7105,Super built-up  Area,Ready To Move,Kaverappa Layout,3 BHK,,1540,3.0,3.0,85.0
7106,Plot  Area,Ready To Move,6th Phase JP Nagar,4 Bedroom,,600,4.0,3.0,125.0
7107,Super built-up  Area,Ready To Move,LB Shastri Nagar,1 BHK,Ciisera,665,1.0,2.0,32.0
7108,Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 BHK,,1665,3.0,,110.0
7109,Super built-up  Area,18-Mar,Electronics City Phase 1,2 BHK,Shitt S,1145,2.0,1.0,54.0
7110,Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1185,2.0,2.0,41.0
7111,Plot  Area,Ready To Move,2nd Phase JP Nagar,3 Bedroom,,1200,3.0,1.0,190.0
7112,Built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693,3.0,2.0,125.0
7113,Super built-up  Area,Ready To Move,Dollars Layout,3 BHK,Toiasle,2456,3.0,3.0,220.0
7114,Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,PhestOn,2559,3.0,2.0,403.0
7115,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,SLnssPr,1155,2.0,1.0,40.6
7116,Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,,1610,2.0,2.0,64.4
7117,Plot  Area,18-Nov,Whitefield,3 Bedroom,,1200,3.0,2.0,56.58
7118,Plot  Area,Ready To Move,Anjana Nagar,2 Bedroom,,1530,2.0,1.0,185.0
7119,Built-up  Area,Ready To Move,EPIP Zone,3 BHK,,1709,3.0,1.0,80.0
7120,Plot  Area,Ready To Move,Amruthahalli,4 Bedroom,,600,4.0,0.0,60.0
7121,Plot  Area,Ready To Move,Brookefield,8 Bedroom,,2700,8.0,,290.0
7122,Plot  Area,Ready To Move,Subramanya Nagar,1 Bedroom,,840,1.0,1.0,150.0
7123,Super built-up  Area,Ready To Move,Gottigere,3 BHK,,1400,2.0,1.0,50.0
7124,Super built-up  Area,Ready To Move,KR Puram,2 BHK,Thisea ,1200,2.0,1.0,42.0
7125,Super built-up  Area,Ready To Move,Janatha Colony,3 BHK,SGllaav,1439,3.0,1.0,57.23
7126,Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1375,2.0,2.0,72.0
7127,Plot  Area,Ready To Move,BTM 2nd Stage,5 Bedroom,,2990,5.0,3.0,416.0
7128,Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,,1200,2.0,1.0,75.0
7129,Built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2.0,3.0,75.0
7130,Plot  Area,18-Mar,Dommasandra,2 Bedroom,,1500,2.0,0.0,40.0
7131,Built-up  Area,Ready To Move,Yelahanka,6 Bedroom,,3600,6.0,1.0,200.0
7132,Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,Rancy R,1178,2.0,3.0,82.0
7133,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,,1430,3.0,2.0,59.0
7134,Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,Neisei ,1400,2.0,2.0,65.8
7135,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1093,2.0,2.0,72.0
7136,Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,Bhave E,1200,2.0,1.0,45.0
7137,Plot  Area,Ready To Move,Magadi Road,5 Bedroom,,5000,6.0,1.0,360.0
7138,Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,Bhsic C,1200,2.0,0.0,130.0
7139,Built-up  Area,18-Apr,Whitefield,3 BHK,,2210,3.0,2.0,156.0
7140,Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Revane ,1150,2.0,2.0,70.0
7141,Super built-up  Area,Ready To Move,Silk Board,3 BHK,,1435,2.0,1.0,60.0
7142,Plot  Area,Ready To Move,Mathikere,4 Bedroom,,600,3.0,,100.0
7143,Super built-up  Area,20-Dec,Whitefield,2 BHK,Oreldhi,1173,2.0,1.0,78.2
7144,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1140,2.0,1.0,39.0
7145,Super built-up  Area,Ready To Move,Jakkur Plantation,3 BHK,Reicace,1717,3.0,3.0,120.0
7146,Super built-up  Area,Ready To Move,Mallasandra,2 BHK,GMilse ,1325,2.0,,65.0
7147,Built-up  Area,Ready To Move,Hoodi,3 BHK,Macanr ,1370,3.0,2.0,67.0
7148,Super built-up  Area,21-Aug,Electronics City Phase 1,2 BHK,GMownTe,1025,2.0,1.0,90.0
7149,Super built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,,1409,2.0,3.0,62.0
7150,Super built-up  Area,Ready To Move,Bellandur,2 BHK,SRageri,1200,2.0,1.0,52.0
7151,Super built-up  Area,Ready To Move,Thanisandra,2 BHK,NRtesnd,1200,2.0,1.0,53.5
7152,Super built-up  Area,18-Feb,Whitefield,3 BHK,BrlisCo,1740,4.0,3.0,130.0
7153,Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,1.0,88.0
7154,Plot  Area,18-Nov,Chandapura,2 Bedroom,,1200,2.0,1.0,36.0
7155,Super built-up  Area,Ready To Move,Whitefield,4 BHK,Toindls,5924,4.0,3.0,625.0
7156,Super built-up  Area,Ready To Move,Veersandra,2 BHK,Shnto F,1250,2.0,1.0,50.0
7157,Built-up  Area,Ready To Move,Munivenkatppa Layout,2 BHK,SNiew L,1475,2.0,2.0,171.0
7158,Super built-up  Area,Ready To Move,Bommanahalli,4 BHK,Alarke ,2100,4.0,2.0,85.0
7159,Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 BHK,,552,1.0,1.0,23.5
7160,Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1065,2.0,2.0,42.59
7161,Plot  Area,17-Aug,Hennur,3 Bedroom,,1000,3.0,1.0,130.0
7162,Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,,1225,2.0,0.0,65.0
7163,Built-up  Area,Ready To Move,Harsha Layout,1 BHK,,650,1.0,0.0,16.0
7164,Super built-up  Area,Ready To Move,Padmanabhanagar,2 BHK,Gancy P,1067,2.0,2.0,52.0
7165,Super built-up  Area,Ready To Move,Sarjapur,3 BHK,Sondaka,1364,2.0,2.0,56.0
7166,Super built-up  Area,Ready To Move,Tata Nagar,3 BHK,,1750,3.0,3.0,75.0
7167,Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,1240,2.0,1.0,71.0
7168,Plot  Area,Ready To Move,Hulimavu,2 Bedroom,,1200,2.0,0.0,75.0
7169,Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,,1540,3.0,,75.0
7170,Super built-up  Area,Ready To Move,Sathya Layout,3 BHK,NChtsun,1504,2.0,2.0,102.0
7171,Super built-up  Area,Ready To Move,New Thippasandra,2 BHK,,1116,2.0,1.0,49.8
7172,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Samittv,2365,4.0,2.0,175.0
7173,Built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,,1308,2.0,2.0,37.0
7174,Built-up  Area,Ready To Move,Vijayanagar,2 BHK,,864,2.0,0.0,45.0
7175,Plot  Area,Ready To Move,Vidyaranyapura,5 Bedroom,,1200,5.0,1.0,139.0
7176,Super built-up  Area,Ready To Move,Hoskote,3 BHK,Sohti S,1069,2.0,,38.0
7177,Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1333,2.0,1.0,100.0
7178,Super built-up  Area,Ready To Move,Chennammana Kere,4 BHK,,1800,4.0,1.0,145.0
7179,Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136,4.0,,550.0
7180,Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1698,3.0,2.0,107.0
7181,Super built-up  Area,18-Jun,JP Nagar,3 BHK,,1275,2.0,2.0,43.6
7182,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,Avlls H,1060,2.0,1.0,48.0
7183,Super built-up  Area,Ready To Move,Hennur,2 BHK,,1160,2.0,1.0,49.0
7184,Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1484,2.0,,65.0
7185,Plot  Area,Ready To Move,Hosa Road,3 Bedroom,,675,3.0,1.0,70.0
7186,Plot  Area,Ready To Move,BEML Layout,3 Bedroom,,1200,5.0,,325.0
7187,Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Mileeou,1310,2.0,1.0,66.0
7188,Plot  Area,Ready To Move,Vijayanagar,6 Bedroom,,1806,6.0,1.0,370.0
7189,Super built-up  Area,Ready To Move,Shanti Nagar,4 BHK,HViesar,3000,4.0,,240.0
7190,Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,165.0
7191,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Duals P,1693,3.0,1.0,125.0
7192,Super built-up  Area,Ready To Move,Jigani,3 BHK,DLhtsen,1230,3.0,3.0,60.0
7193,Plot  Area,18-Jan,Devanahalli,3 Bedroom,Ozdiaan,1200,3.0,1.0,145.0
7194,Built-up  Area,18-Aug,Bommasandra Industrial Area,3 BHK,,1310,2.0,1.0,37.83
7195,Super built-up  Area,Ready To Move,Tigalarpalya,2 BHK,,1150,2.0,1.0,60.0
7196,Super built-up  Area,18-Apr,Munnekollal,3 BHK,Sadhii ,1385,2.0,2.0,66.5
7197,Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,Redarav,1066,2.0,2.0,52.5
7198,Super built-up  Area,19-Dec,Thanisandra,3 BHK,DSity S,2293,3.0,2.0,80.26
7199,Plot  Area,Ready To Move,Tindlu,3 Bedroom,,720,3.0,1.0,81.0
7200,Carpet  Area,Ready To Move,2nd Block Bel Layout,3 BHK,,1625,3.0,3.0,92.0
7201,Super built-up  Area,Ready To Move,Vittasandra,2 BHK,,1246,2.0,1.0,67.4
7202,Plot  Area,Ready To Move,Vijayanagar,4 Bedroom,,2100,6.0,1.0,252.0
7203,Super built-up  Area,Ready To Move,sarjapura main road,4 BHK,,2400,4.0,3.0,250.0
7204,Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 Bedroom,,3900,6.0,,195.0
7205,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Axdam V,1000,2.0,1.0,70.65
7206,Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,MYncysi,907,2.0,2.0,38.0
7207,Plot  Area,Ready To Move,Ulsoor,4 Bedroom,,3500,4.0,0.0,138.0
7208,Super built-up  Area,Ready To Move,Varthur,3 BHK,Vaensia,1395,2.0,3.0,79.0
7209,Super built-up  Area,Ready To Move,Kumbena Agrahara,2 BHK,Shont F,1180,2.0,2.0,50.0
7210,Plot  Area,Ready To Move,Banaswadi,5 Bedroom,,1903,6.0,2.0,140.0
7211,Super built-up  Area,18-Mar,Electronic City,2 BHK,,1175,2.0,1.0,47.0
7212,Super built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,,1272,2.0,2.0,51.5
7213,Super built-up  Area,Ready To Move,Hiremath Layout,3 BHK,MadorSp,1490,2.0,1.0,92.0
7214,Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1144,2.0,2.0,67.0
7215,Plot  Area,17-Aug,Anekal - Hosur Road,4 Bedroom,,2400,5.0,,140.0
7216,Super built-up  Area,Ready To Move,Hormavu,2 BHK,SLtraks,1143,2.0,1.0,53.0
7217,Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2500,3.0,2.0,190.0
7218,Super built-up  Area,18-Dec,Whitefield,2 BHK,Prtates,1216,2.0,1.0,75.0
7219,Super built-up  Area,17-Jun,Nallurhalli,2 BHK,Mauil T,1044,2.0,1.0,60.0
7220,Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352,3.0,1.0,93.0
7221,Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,1552,3.0,3.0,75.0
7222,Built-up  Area,Ready To Move,Bellandur,3 BHK,Krala D,1785,3.0,2.0,120.0
7223,Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,810,2.0,2.0,34.5
7224,Super built-up  Area,18-May,Banashankari Stage V,3 BHK,Naiewre,1650,3.0,2.0,51.98
7225,Super built-up  Area,Ready To Move,Akshayanagara East,3 BHK,,1595,3.0,2.0,70.39
7226,Super built-up  Area,Ready To Move,Whitefield,2 BHK,Rabow R,1060,2.0,1.0,35.0
7227,Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1410,2.0,3.0,65.0
7228,Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSesthr,1523,2.0,2.0,56.0
7229,Super built-up  Area,19-Jan,Kanakpura Road,3 BHK,PrityFa,1591,3.0,1.0,122.0
7230,Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,SJcerpe,1640,3.0,3.0,84.0
7231,Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,450,1.0,0.0,16.0
7232,Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Amarere,1305,2.0,2.0,60.0
7233,Super built-up  Area,Ready To Move,Yelahanka,3 BHK,,1590,3.0,1.0,54.0
7234,Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Frowsru,1240,2.0,3.0,45.0
7235,Super built-up  Area,Ready To Move,MCECHS  layout,2 BHK,,1200,2.0,2.0,54.0
7236,Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,,1100,2.0,1.0,41.16
7237,Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1180,2.0,1.0,128.0
7238,Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1115,2.0,1.0,50.0
7239,Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,1.0,33.0
7241,Super built-up  Area,Ready To Move,Channasandra,3 BHK,Unm 2El,1310,2.0,2.0,45.0
7242,Plot  Area,Ready To Move,Yelahanka,1 Bedroom,,26136,1.0,0.0,150.0
7243,Built-up  Area,Ready To Move,Jyothi Nagar,2 BHK,,959,2.0,1.0,42.5
7244,Built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,,1200,4.0,1.0,140.0
